codigomuestra,parcela,usuariohab,fechacreacionhab,fechaenviohab,idodkhabitat,horainicio,horafinal,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,actividadpersonas,actividadcebo1,actividadcebo2,actividadcebo3,actividadcebo4,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,idparentaltiposdecebo,tiposdecebo,idparentalcebosbajo,cebosbajo,idparentalcebossobre,cebossobre,idparentalcebosotrosele,cebosotrosele,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones,tipo,riqueza
20191012B7,p39,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-14T17:40:09Z,2019-10-14T17:40:09Z,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,1.30 pm,2.15 pm,-69.9144283333,18.4632383333,10.3,1.7000000477,Play,1a5,no hay a la vista,10omas,0,1a5,0,1a5,0,2019-10-12T00:00:00Z,NULL,NULL,NULL,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,bacs,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,atun_tuna,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,despejado,uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,"suelo_tierra,hierba",uuid:c968efa7-8a4e-42f1-a56c-4ef053e2185a,basura_restos_comida,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:50Z,2019-10-16T21:56:50Z,uuid:ae8af103-6943-4865-97d2-754edf99897b,2019-10-16,bacs,NULL,uuid:ae8af103-6943-4865-97d2-754edf99897b,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
20190927M01,p182,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-09-27T22:25:36Z,2019-09-27T22:25:36Z,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,4.47 pm,6.15 pm,-69.91793128,18.45873469,-18.8300476074,3.2160000801,NU,10omas,no hay a la vista,1a5,0,10omas,6a9,10omas,10omas,2019-09-27T00:00:00Z,NULL,NULL,NULL,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,emdr,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,atun_tuna,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,despejado,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,hierba,uuid:d2dd26fb-0b6a-4cd9-a37d-61bb2ea7d806,"hojarasca,basura_restos_comida",uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-17T18:43:26Z,2019-10-17T18:43:26Z,uuid:adb97e47-01f7-4c47-bfb0-1f9c0105fdda,2019-10-17,emdr,NULL,uuid:adb97e47-01f7-4c47-bfb0-1f9c0105fdda,"dorymyrmexsp,monomoriumsp,pheidolesp","suelo, herbáceas, no edificado ni cubierto",3
20191014M06,p171,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-15T16:19:59Z,2019-10-15T16:19:59Z,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,2.03 pm,3.04 pm,-69.91941234,18.45928399,-18.6879577637,3.2160000801,Aula magna,1a5,no hay a la vista,1a5,0,10omas,10omas,10omas,10omas,2019-10-14T00:00:00Z,NULL,5 personas sentadas cerca,"Framboyan, pino, palma",uuid:50ce493e-b74c-46d0-b383-afc8039d0661,emdr,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,atun_tuna,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,despejado,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,hierba,uuid:50ce493e-b74c-46d0-b383-afc8039d0661,hojarasca,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:51Z,2019-10-31T17:06:51Z,uuid:af1bf522-b86e-4a86-891c-3b41ae1c4c5a,2019-10-24,emdr,NULL,uuid:af1bf522-b86e-4a86-891c-3b41ae1c4c5a,"brachymyrmexsp,dorymyrmexsp,solenopsissp","suelo, herbáceas, no edificado ni cubierto",3
20191025M10,p33,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:55Z,2019-10-31T17:06:55Z,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,11.43 am,12.51 pm,-69.91731412,18.46323244,-15.7388916016,3.2160000801,Frente al comedor,10omas,no hay a la vista,1a5,0,10omas,10omas,10omas,10omas,2019-10-25T00:00:00Z,NULL,1 cebo sin hormigas,NULL,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,emdr,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,atun_tuna,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,dosel,uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,"suelo_tierra,hierba",uuid:7ed5bd55-9c29-49e6-ba6d-3228afcf5c16,"hojarasca,ramas_troncos",uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:55Z,2019-10-31T17:06:55Z,uuid:bdf1381b-e75b-4ea7-b5dd-ecd2a5434bfe,2019-10-25,emdr,NULL,uuid:bdf1381b-e75b-4ea7-b5dd-ecd2a5434bfe,"brachymyrmexsp,cardiocondylasp,dorymyrmexsp,pheidolesp,solenopsissp,wasmanniasp",dosel,6
20191024M08,p134,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:53Z,2019-10-31T17:06:53Z,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,11.24 am,12.51 pm,-69.91624497,18.4604064,-17.9768066406,3.2160000801,Frente a parqueos registro,10omas,no hay a la vista,1a5,0,10omas,10omas,10omas,10omas,2019-10-24T00:00:00Z,NULL,15 personas cruzaron por el cebo,Palma,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,emdr,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,atun_tuna,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,dosel,uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,"hierba,suelo_tierra",uuid:8c39c9f3-abdb-4d09-beac-c328133d4ad2,hojarasca,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:57Z,2019-10-31T17:06:57Z,uuid:d150b6e8-f225-46e2-b14f-29ac48c9f4a2,2019-10-31,emdr,NULL,uuid:d150b6e8-f225-46e2-b14f-29ac48c9f4a2,"brachymyrmexsp,cardiocondylasp,pheidolesp,solenopsissp",dosel,4
20191026M11,p132,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:57Z,2019-10-31T17:06:57Z,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,3.35 pm,4.56 pm,-69.91712875,18.46025948,-30.0837402344,3.2160000801,Embajadas,1a5,no hay a la vista,1a5,0,10omas,10omas,10omas,10omas,2019-10-26T00:00:00Z,NULL,NULL,Nin,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,emdr,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,atun_tuna,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,dosel,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,suelo_tierra,uuid:a58007e5-90b1-429a-8cdd-362e453e891f,"hojarasca,basura_restos_comida,ramas_troncos",uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:57Z,2019-10-31T17:06:57Z,uuid:85e1eea9-73b5-4b9c-ba52-b2c10af6ad57,2019-10-31,emdr,NULL,uuid:85e1eea9-73b5-4b9c-ba52-b2c10af6ad57,"dorymyrmexsp,pheidolesp,pseudomyrmexsp,solenopsissp,tetramoriumsp",dosel,5
20191013M05,p107,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13T23:13:29Z,2019-10-13T23:13:29Z,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,4.14 pm,5.29 pm,-69.91926209,18.46097675,-24.6130981445,3.2160000801,Aula Magna,10omas,no hay a la vista,1a5,0,6a9,1a5,0,1a5,2019-10-13T00:00:00Z,NULL,4 cebos sin hormigas,Mango,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,emdr,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,atun_tuna,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,despejado,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,hierba,uuid:81d563f9-38cc-42d0-9c51-e456a41d3094,hojarasca,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:51Z,2019-10-31T17:06:51Z,uuid:ec5c6c19-982b-4b12-89eb-b44e24789ec7,2019-10-18,emdr,NULL,uuid:ec5c6c19-982b-4b12-89eb-b44e24789ec7,"cardiocondylasp,dorymyrmexsp,pheidolesp,solenopsissp","suelo, herbáceas, no edificado ni cubierto",4
20191013M04,p24,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13T23:13:27Z,2019-10-13T23:13:27Z,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,3.03 pm,5.57 pm,-69.91622376,18.46371792,2.6891174316,3.2160000801,Humanidades,1a5,no hay a la vista,1a5,0,10omas,10omas,10omas,10omas,2019-10-13T00:00:00Z,NULL,NULL,Almendra,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,emdr,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,atun_tuna,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,dosel,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,no_aplica,uuid:cc13072f-d715-42b6-9212-47f4cf8a0def,"hojarasca,rocas",uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:50Z,2019-10-31T17:06:50Z,uuid:8cd37d88-618e-4158-a8fc-f815d65aac47,2019-10-18,emdr,NULL,uuid:8cd37d88-618e-4158-a8fc-f815d65aac47,"brachymyrmexsp,cardiocondylasp,dorymyrmexsp,paratrechinasp,pheidolesp,tetramoriumsp",dosel,6
20191012M02,p16,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13T23:13:21Z,2019-10-13T23:13:21Z,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,10.28 am,11.38 am,-69.91503429,18.46405854,-17.575958252,3.2160000801,Area del play,10omas,no_aplica,1a5,1a5,1a5,10omas,0,1a5,2019-10-12T00:00:00Z,NULL,NULL,"Mango, coco",uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,emdr,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,atun_tuna,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,despejado,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,hierba,uuid:6bbeae32-9c80-4d46-bb11-a28ced1cefc4,no_aplica,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:50Z,2019-10-31T17:06:50Z,uuid:2c59d217-6cf7-4ba0-a237-4e0b8ddf99a5,2019-10-18,emdr,NULL,uuid:2c59d217-6cf7-4ba0-a237-4e0b8ddf99a5,"brachymyrmexsp,dorymyrmexsp","suelo, herbáceas, no edificado ni cubierto",2
20191014M07,p97,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-15T16:20:02Z,2019-10-15T16:20:02Z,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,3.40 pm,4.51 pm,-69.91517228,18.46145875,-24.2993469238,3.2160000801,Medicina,1a5,no hay a la vista,1a5,no_aplica,10omas,10omas,6a9,10omas,2019-10-14T00:00:00Z,NULL,"3 personas pasaron por el area de la muestra, en los alrededores habia unas 20 personas","Pino, framboyan",uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,emdr,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,atun_tuna,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,dosel,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,hierba,uuid:73b3cc49-ae1b-4300-b36f-5aa9aa80c2f7,hojarasca,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-17T16:26:45Z,2019-10-17T16:26:45Z,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,2019-10-17,emdr,NULL,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,"brachymyrmexsp,monomoriumsp,pheidolesp",dosel,3
20191012M03,p40,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-13T23:13:24Z,2019-10-13T23:13:24Z,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,12.06 pm,12.57 pm,-69.91419551,18.46330502,-13.9492492676,3.2160000801,Area del play,6a9,no hay a la vista,1a5,0,0,0,10omas,0,2019-10-12T00:00:00Z,NULL,"Solo 3 de las 16 tenía hormigas, pero estas tenian gran cantidad.",NULL,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,emdr,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,atun_tuna,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,despejado,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,hierba,uuid:f1190b96-e188-4168-bc6c-94f144aa5070,basura_restos_comida,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:50Z,2019-10-31T17:06:50Z,uuid:98a2c2b9-30be-44af-b688-7d4c4b91a847,2019-10-18,emdr,NULL,uuid:98a2c2b9-30be-44af-b688-7d4c4b91a847,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
20191025M09,p42,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:54Z,2019-10-31T17:06:54Z,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,10.14 am,11.32 am,-69.91932652,18.46302421,-3.1176452637,3.2160000801,Embajadas de arte,10omas,no hay a la vista,6a9,0,10omas,10omas,10omas,10omas,2019-10-25T00:00:00Z,NULL,NULL,NULL,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,emdr,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,atun_tuna,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,despejado,uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,"hierba,suelo_tierra",uuid:c40aa415-7ebc-4b65-8bb0-687e8c84fbad,"hojarasca,ramas_troncos,rocas,basura_restos_comida",uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-31T17:06:56Z,2019-10-31T17:06:56Z,uuid:3655a453-308d-4abb-aa44-795d5a1d6427,2019-10-31,emdr,NULL,uuid:3655a453-308d-4abb-aa44-795d5a1d6427,"brachymyrmexsp,dorymyrmexsp,paratrechinasp,solenopsissp","suelo, herbáceas, no edificado ni cubierto",4
